URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,DNS_QUERY_TIMES,Type
17,6,0,159,35,4,31,22,3,3812,39,37,18784,4380,8.0,0
18,7,1,159,28,66,11,6,9,894,11,13,838,894,0.0,0
18,6,2,13,35,23,12,0,3,1189,14,13,8559,1327,2.0,0
19,6,3,87,35,32,0,0,0,0,0,0,0,0,0.0,0
20,6,4,6,35,49,0,0,0,0,0,0,0,0,0.0,0
20,6,3,87,35,23,0,0,0,0,0,0,0,0,0.0,0
21,7,2,159,27,97,6,0,2,603,8,9,1580,745,2.0,1
22,7,3,87,35,23,9,0,4,850,11,9,1354,994,2.0,1
22,6,4,189,35,20,39,29,6,3833,43,42,22495,4125,4.0,0
22,6,2,159,35,133,8,6,6,696,8,10,636,696,0.0,0
22,7,4,72,2,146,12,0,2,2259,16,12,5165,2559,4.0,0
22,6,1,173,35,32,6,0,3,650,10,10,1417,950,4.0,0
22,6,0,6,35,102,0,0,0,0,0,0,0,0,0.0,0
22,6,0,173,35,134,0,0,0,0,0,0,0,0,0.0,0
22,6,4,159,6,7,0,0,0,0,0,0,0,0,0.0,0
23,6,4,6,35,32,16,3,11,1696,18,20,13422,1844,2.0,0
23,6,2,50,24,110,0,0,0,0,0,0,0,0,0.0,0
23,6,1,110,35,105,10,0,5,1186,14,15,1900,1476,4.0,0
23,6,0,173,16,12,43,4,4,5738,47,50,56926,6046,4.0,0
23,6,2,6,35,20,8,0,2,723,10,11,1837,871,2.0,0
23,6,0,6,6,3,40,17,16,3285,46,45,12003,3729,6.0,0
24,9,2,6,16,132,7,0,2,720,9,10,1269,868,2.0,1
24,7,4,159,35,86,14,6,6,1907,18,18,5601,2171,4.0,0
24,6,3,87,6,170,6,4,4,564,6,8,508,564,0.0,0
24,8,2,28,35,55,19,2,4,2131,23,23,9471,2441,4.0,0
24,6,4,185,6,100,12,2,7,984,16,16,1839,1292,4.0,0
24,6,2,13,35,90,19,5,9,1390,21,25,3890,1540,2.0,0
24,6,1,6,24,110,23,3,15,2485,27,28,9332,2799,4.0,0
25,6,4,36,6,19,0,0,0,0,0,0,0,0,0.0,0
