URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,DNS_QUERY_TIMES,Type
29,7,3,87,33,165,5,0,2,593,7,8,1128,751,2.0,1
132,26,1,6,11,17,0,0,0,0,0,3,186,0,0.0,1
97,15,1,29,36,76,3,0,2,198,3,6,384,198,0.0,1
87,16,1,159,35,20,17,9,2,3124,23,21,9563,3564,6.0,0
49,10,1,159,35,32,0,0,0,0,0,0,0,0,0.0,0
39,9,0,18,35,140,20,0,2,2976,26,23,7783,3440,6.0,1
37,9,0,159,8,161,1,0,1,66,3,4,404,206,2.0,1
48,10,0,18,35,140,22,0,2,3448,28,24,9819,3912,6.0,1
75,13,1,6,35,109,8,0,6,801,10,9,677,951,2.0,1
53,12,0,173,35,6,8,0,1,1156,10,10,2638,1316,2.0,1
45,11,1,95,35,74,10,9,8,780,10,12,805,780,0.0,0
194,17,1,6,11,17,0,0,0,0,0,3,186,0,0.0,1
52,10,1,159,6,69,0,0,0,0,0,0,0,0,0.0,0
126,24,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
38,10,2,13,6,100,14,4,6,888,14,5,316,888,0.0,1
31,7,4,6,35,20,0,0,0,0,0,0,0,0,0.0,0
150,26,1,6,11,17,0,0,0,0,0,3,186,0,0.0,1
62,12,0,6,2,120,0,0,0,0,0,0,0,0,0.0,0
99,20,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
145,29,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
146,28,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
40,7,0,84,2,147,24,6,4,1784,26,27,23886,1950,2.0,0
53,10,1,159,35,23,0,0,0,0,0,0,0,0,0.0,0
81,15,0,6,35,45,17,0,3,2281,21,22,29619,2581,4.0,0
89,18,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
122,22,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
24,9,2,6,16,132,7,0,2,720,9,10,1269,868,2.0,1
129,25,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
53,10,1,170,6,119,7,6,2,798,7,8,492,798,0.0,0
22,7,3,87,35,23,9,0,4,850,11,9,1354,994,2.0,1
63,11,1,157,35,20,0,0,0,0,0,0,0,0,0.0,0
82,17,4,88,35,26,0,0,0,0,0,2,124,0,0.0,1
49,12,0,175,32,173,12,8,1,2037,16,16,6187,2355,4.0,1
145,26,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
80,12,1,80,35,20,41,0,5,3333,45,43,42229,3715,4.0,0
38,9,0,18,35,140,15,0,2,2342,21,15,7249,2806,6.0,1
198,17,1,6,11,17,0,0,0,0,0,2,124,0,0.0,1
